iter	Passed	Remaining
0	1	1328
1	1	848
2	2	688
3	2	612
4	2	557
5	3	524
6	3	497
7	3	476
8	4	456
9	4	444
10	4	433
11	5	422
12	5	415
13	5	404
14	6	403
15	6	399
16	6	393
17	7	390
18	7	385
19	7	381
20	8	380
21	8	375
22	8	372
23	9	369
24	9	368
25	9	368
26	10	367
27	10	364
28	10	362
29	11	359
30	11	358
31	11	357
32	12	355
33	12	352
34	12	349
35	13	348
36	13	348
37	13	347
38	14	347
39	14	346
40	14	345
41	15	345
42	15	344
43	15	343
44	16	357
45	17	356
46	17	354
47	17	352
48	18	350
49	18	348
50	18	347
51	18	345
52	19	343
53	19	342
54	19	340
55	20	338
56	20	337
57	20	335
58	20	333
59	21	331
60	21	330
61	22	339
62	22	337
63	22	336
64	23	334
65	23	333
66	23	331
67	24	330
68	24	328
69	24	327
70	24	325
71	25	324
72	25	323
73	25	322
74	26	322
75	26	321
76	26	321
77	27	320
78	27	319
79	27	318
80	28	318
81	28	317
82	28	314
83	28	314
84	29	313
85	29	313
86	29	312
87	30	312
88	30	311
89	30	311
90	31	311
91	31	310
92	31	309
93	32	309
94	32	309
95	32	309
96	33	308
97	33	308
98	33	307
99	34	307
100	34	307
101	34	306
102	35	305
103	35	305
104	35	304
105	36	305
106	36	304
107	36	304
108	37	303
109	37	303
110	37	302
111	38	302
112	38	301
113	38	301
114	39	301
115	39	301
116	39	300
117	40	300
118	40	299
119	40	299
120	41	298
121	41	297
122	41	297
123	42	296
124	42	296
125	42	296
126	42	294
127	43	294
128	43	294
129	43	293
130	44	293
131	44	292
132	44	292
133	45	295
134	46	295
135	46	295
136	46	295
137	47	295
138	47	294
139	47	294
140	48	294
141	48	293
142	48	292
143	49	292
144	49	291
145	50	292
146	50	292
147	50	292
148	51	291
149	51	291
150	51	290
151	52	290
152	52	289
153	52	289
154	52	288
155	53	287
156	53	287
157	53	287
158	54	286
159	54	286
160	54	285
161	55	284
162	55	284
163	55	284
164	56	283
165	56	283
166	56	282
167	56	282
168	57	281
169	57	281
170	57	280
171	58	280
172	58	280
173	59	280
174	59	279
175	59	278
176	59	278
177	60	277
178	60	277
179	60	276
180	61	276
181	61	275
182	61	275
183	61	274
184	62	274
185	62	273
186	62	273
187	63	273
188	63	272
189	63	272
190	64	272
191	64	271
192	64	271
193	65	271
194	65	271
195	66	271
196	66	271
197	66	270
198	67	270
199	67	270
200	67	270
201	68	269
202	68	269
203	68	268
204	69	268
205	69	268
206	69	268
207	70	267
208	70	267
209	70	267
210	71	266
211	71	266
212	71	265
213	72	265
214	72	265
215	72	264
216	73	264
217	73	263
218	73	263
219	74	263
220	74	262
221	74	262
222	75	262
223	75	261
224	75	261
225	76	261
226	76	261
227	77	260
228	77	260
229	77	260
230	78	259
231	78	259
232	78	258
233	78	258
234	79	258
235	79	258
236	80	258
237	80	257
238	80	257
239	81	256
240	81	256
241	81	256
242	82	255
243	82	255
244	82	255
245	83	254
246	83	254
247	83	253
248	84	253
249	84	253
250	84	252
251	85	252
252	85	252
253	85	251
254	85	251
255	86	250
256	86	250
257	86	249
258	87	249
259	87	248
260	87	248
261	87	247
262	88	246
263	88	246
264	88	245
265	88	245
266	89	244
267	89	244
268	89	243
269	89	243
270	90	242
271	90	242
272	90	241
273	91	241
274	91	240
275	91	240
276	91	239
277	92	239
278	92	238
279	92	238
280	93	238
281	93	237
282	93	237
283	93	236
284	94	236
285	94	236
286	94	235
287	95	235
288	95	234
289	95	234
290	96	233
291	96	233
292	96	233
293	96	232
294	97	232
295	97	231
296	97	231
297	98	230
298	98	230
299	98	229
300	98	229
301	99	228
302	99	228
303	99	228
304	99	227
305	100	227
306	100	226
307	100	226
308	101	225
309	101	225
310	101	224
311	101	224
312	102	223
313	102	223
314	102	222
315	102	222
316	103	221
317	103	221
318	103	221
319	103	220
320	104	220
321	104	219
322	104	219
323	104	218
324	105	218
325	105	218
326	105	217
327	106	217
328	106	216
329	106	216
330	106	215
331	107	215
332	107	215
333	107	214
334	108	214
335	108	214
336	108	213
337	108	213
338	109	212
339	109	212
340	109	211
341	109	211
342	110	210
343	110	210
344	110	210
345	110	209
346	111	209
347	111	208
348	111	208
349	111	207
350	112	207
351	112	206
352	112	206
353	112	206
354	113	205
355	113	205
356	113	204
357	114	204
358	114	204
359	114	203
360	114	203
361	115	202
362	115	202
363	115	202
364	116	201
365	116	201
366	116	201
367	116	200
368	117	200
369	117	199
370	117	199
371	117	198
372	118	198
373	118	198
374	118	197
375	118	197
376	119	196
377	119	196
378	119	195
379	119	195
380	120	195
381	120	194
382	120	194
383	120	194
384	121	193
385	121	193
386	121	192
387	122	192
388	122	192
389	122	191
390	122	191
391	123	190
392	123	190
393	123	190
394	123	189
395	124	189
396	124	189
397	125	189
398	125	188
399	125	188
400	125	188
401	126	187
402	126	187
403	126	187
404	127	186
405	127	186
406	127	185
407	127	185
408	128	185
409	128	184
410	128	184
411	128	183
412	129	183
413	129	183
414	129	182
415	129	182
416	130	182
417	130	181
418	130	181
419	131	180
420	131	180
421	131	180
422	131	179
423	132	179
424	132	179
425	132	178
426	132	178
427	133	178
428	133	177
429	133	177
430	133	176
431	134	176
432	134	176
433	134	175
434	135	175
435	135	175
436	135	174
437	135	174
438	136	173
439	136	173
440	136	173
441	136	172
442	137	172
443	137	172
444	137	171
445	137	171
446	138	170
447	138	170
448	138	170
449	139	169
450	139	169
451	139	169
452	139	168
453	140	168
454	140	168
455	140	167
456	141	167
457	141	167
458	141	166
459	141	166
460	142	166
461	142	165
462	142	165
463	142	165
464	143	164
465	143	164
466	143	164
467	144	163
468	144	163
469	144	163
470	144	162
471	145	162
472	145	161
473	145	161
474	145	161
475	146	160
476	146	160
477	146	160
478	146	159
479	147	159
480	147	159
481	147	158
482	147	158
483	148	158
484	148	157
485	148	157
486	149	157
487	149	156
488	149	156
489	150	156
490	150	156
491	150	155
492	151	155
493	151	155
494	151	155
495	152	154
496	152	154
497	152	154
498	153	153
499	153	153
500	153	153
501	154	152
502	154	152
503	154	152
504	155	152
505	155	151
506	155	151
507	156	151
508	156	150
509	156	150
510	157	150
511	157	150
512	157	149
513	158	149
514	158	149
515	158	149
516	159	148
517	159	148
518	159	148
519	160	147
520	160	147
521	160	147
